text_id	text	masks_stance	masks_argument	quarantine_stance	quarantine_argument	vaccines_stance	vaccines_argument
17024	По словам Роспернадзора, все транзитные пассажиры, проходящие через Москву, должны пройти 14-дневный карантин по месту жительства.	-1	-1	1	1	-1	-1
17025	Несоблюдение карантинных мер контактными лицами может быть зарегистрировано в &quot; горячей линии &quot; Россимнадзора - 8-800-100-0004 (может быть бесплатно вызван из любого муниципалитета России в рабочие дни с 1000 до 1700 (по московскому времени), перерыв с 1200 до 1245), или в Едином консультативном центре Россимнадзора - 8-800-555-49-43.	-1	-1	1	1	-1	-1
17027	Читай больше книг о карантине, посмотри, сможешь ли ты реанимировать мозг.	-1	-1	1	1	-1	-1
17030	Иди прочти интуицию наших городских павильонов, где каждый десятый говорит, что у них есть друг, который вернулся откуда-то и плюнул на карантин, нам нечего раздавать, в аптеке нечего раздавать.	-1	-1	1	1	-1	-1
17031	Все контакты, которые они идентифицировали, направляются на карантин продолжительностью 14 дней и проходят проверку.	-1	-1	1	1	-1	-1
17033	Многие из них на домашнем карантине.	-1	-1	1	1	-1	-1
17034	Если бы эти рейсы были запрещены и немедленно карантинированы, никто бы никуда не пошёл.	-1	-1	2	1	-1	-1
17036	Мы надеемся, что в других регионах не будет необходимости принимать такие строгие карантинные меры.	-1	-1	1	1	-1	-1
17037	Почему у доктора Зойдберга нет песни о масках и карантине?	1	1	1	1	-1	-1
17042	Это из-за идиотов, которые не носят маски и не сидят в карантине.	2	1	2	1	-1	-1
17046	В то время, когда пришло время ввести карантин, кажется, что это слишком рано.	-1	-1	1	1	-1	-1
17047	И я удивлен, что Южная Африка, например, имеет строгий карантин, даже здесь они понимают последствия.	-1	-1	2	1	-1	-1
17051	И муж со всеми симптомами коронавируса даже не был выписан, он пошёл заплатить и поздоровался, две недели в карантине дома, с двумя мазками подтвердили, пришли, кашля, дыхания, запаха и вкуса, и терапевт сказал это во рту, и доктор сказал это.	-1	-1	1	1	-1	-1
17052	Но если вы любите говорить о демократической Европе, тогда почему бы вам не рассказать старикам о огромных штрафах и что карантин не очень-то поможет, но постепенные меры по предотвращению паники не панацея, но мы постепенно находим способ, который, я лично надеюсь, поможет всем собраться вместе и ждать такой сложности!	-1	-1	1	0	-1	-1
17060	Удалённое обучение долгое время проверялось в регионах для карантинных периодов, так что это не первый раз.	-1	-1	1	1	-1	-1
17061	И сейчас, в ситуации, когда карантин конца не заметен, уровень смертности огромен.	-1	-1	1	1	-1	-1
17062	У меня все еще есть резиновая перчатка на одной руке, и я трогаю другое лицо) Ребёнок не был в саду две недели, и это был умеренный карантин, как сознательные граждане.	-1	-1	2	1	-1	-1
17063	Значит, будь ты в сознании или нет, ты будешь карантин, как в Европе, или ты приведешь домой таких бесстрашных и, видимо, одиноких людей, за которых нет родственников, которых можно было бы опасаться.	-1	-1	1	1	-1	-1
17066	Они сидят дома в карантине с ребенком, и они просто говорят о последствиях и причинах, почему все началось, и они ввели карантин, но люди не воспринимали это всерьез, они не верили в это, и они столкнулись с друзьями.	-1	-1	2	1	-1	-1
17068	Думаю, мы должны устроить карантин и поработать над твоим.	-1	-1	1	1	-1	-1
17074	Власти ввели карантин неделю назад, но чертовы испанцы продолжали пить вино в кафе и делать сиесты!	-1	-1	2	1	-1	-1
17086	Развитие событий: если вы будете наблюдать карантинный месяц, вирус будет остановлен.	-1	-1	2	2	-1	-1
17087	У меня кончится карантин, я пойду к Питеру.	-1	-1	1	1	-1	-1
17088	Здравствуйте, учитывая обстоятельства эпидемии в Российской Федерации и указы Президента Российской Федерации В.В. ПУТИНА, был объявлен недельный карантин, но некоторые организации, такие, как ОБ БАУЦЕНТРЕ, проигнорировали приказ президента Российской Федерации и в связи с этой глобальной катастрофой решили найти свое преимущество, а именно: чтобы заткнуть свою жадность забрать последние деньги из населения, эта компания работала с 8 часов утра. Сегодня, которая продолжает работать в том же режиме, мы хотели бы просить губернатора региона, а также мэра региона и других должностных лиц бороться за здоровый образ жизни в Российской Федерации, или это все то, что происходит в глобальном мире, который мы игнорируем?	-1	-1	1	1	-1	-1
17090	Я не знаю, в новостях сказали, что они приедут прямо в карантин, но в статье говорится, что все собираются карантин!	-1	-1	1	1	-1	-1
17095	Половина предметов закрыта, деньги намного меньше, но с универсальным карантином они совсем не будут.	-1	-1	1	1	-1	-1
17096	После мёртвого сезона карантин должен будет заплатить в два раза больше.	-1	-1	1	0	-1	-1
17097	О налоговых отпусках для малых предприятий (которые в карантинных условиях фактически умрут, а после карантина придется платить в два раза больше), о некоторых оплачиваемых выходных, в которые никто не пойдёт.	-1	-1	1	0	-1	-1
17098	Карантина не похоже, что это случится, так что она не убьет так много людей.	-1	-1	2	2	-1	-1
17101	Потому что карантин займет невероятно много времени, и это чертовски маленький и средний бизнес, так что он закроется, и люди потеряют свою работу.	-1	-1	0	0	-1	-1
17102	Устрой там штаб-квартиру и посади должностных лиц на карантин... за счет бюджета, конечно.	-1	-1	1	1	-1	-1
17104	Проблема в том, что лавина болезни может вызвать панику, и это не поможет карантину, все сломаются.	-1	-1	1	1	-1	-1
17106	На самом деле, у нас были карантины уже месяц, и в течение первых двух недель, никто также не слушал, люди ходят, бегают, тусуются на улице.	-1	-1	1	1	-1	-1
17111	Потому что нет туристов, сидящих дома на карантине.	-1	-1	1	1	-1	-1
17117	Месяц назад они закрыли свои границы с проблемными странами, устроили двухнедельный карантин.	-1	-1	1	1	-1	-1
17121	Они приехали из плохой страны, так что, пожалуйста, сиди дома на карантине.	-1	-1	2	2	-1	-1
17122	Все эти политики во всем мире говорят много вещей, в том числе о коронирусе и его угрозе, и о необходимости жестких карантинных мер.	-1	-1	1	1	-1	-1
17123	[USER], я живу в Англии, все предприятия, которые закрываются, где они официально заключены, и люди находятся в карантине, правительство будет платить 80% их заработной платы, эти выплаты не ограничиваются частными предпринимателями, и они могут претендовать на всеобщее кредитование.	-1	-1	1	1	-1	-1
17126	22 февраля итальянские власти на неопределенный срок ввели карантин в 12 городах на севере страны.	-1	-1	1	1	-1	-1
17128	Когда был введен карантин, когда они заявили, что достигли пика, и когда у них было реальное снижение.	-1	-1	1	1	-1	-1
17130	Кроме карантина, который действовал в течение недели на момент обнаружения 1000 человек.	-1	-1	1	0	-1	-1
17131	И у нас нет карантина, потому что мы должны вытащить деньги, и они находятся во внезапных домах вынужденного самоизоляции.	-1	-1	1	0	-1	-1
17132	Карантина для чего-то, что не будет массивным за короткий период времени, в противном случае система здравоохранения потерпит неудачу и будет гораздо больше смертей, чем если инфекция будет распространяться с течением времени.	-1	-1	2	2	-1	-1
17134	Карантин необходим для того, чтобы сделать этих людей менее чем единицей времени.	-1	-1	2	2	-1	-1
17135	И все их окрестности и контакты под обязательным карантином с запретом на выход из дома без нужды.	-1	-1	2	1	-1	-1
17142	"Я уверен, что нас ждет карантин, потому что невозможно сдержать инфекцию в нашей стране, русские ""почему"" и отсутствие доверия к самим медицинским работникам в серьезности ситуации неумолимо!"	-1	-1	2	2	-1	-1
17143	А потом мы говорим о каком-то карантине и охране.	-1	-1	1	1	-1	-1
17147	"Скажи мне, терпеливый, и весь мир накачивает миллиарды и разрушает свою собственную экономику, вводя карантин против ""несуществующего"" вируса, потому что...?"	-1	-1	1	2	-1	-1
17148	Вот почему лучше резать купоны в форме налогов, а не карантинных штрафов.	-1	-1	1	1	-1	-1
17151	Там есть карантин на 14 дней, пока вы не выйдете из тюрьмы.	-1	-1	1	1	-1	-1
17152	Основные принципы карантина дома	-1	-1	1	1	-1	-1
17153	Он имеет особую особенность: все дни карантина оплачиваются ФСБ.	-1	-1	1	1	-1	-1
17156	Это неделя карантина.	-1	-1	1	1	-1	-1
17161	Все просто, у них нет денег в кубе, поэтому мы не можем получить локодун.	-1	-1	1	1	-1	-1
17162	Например, жесткий карантин с запретом на выход.	-1	-1	1	1	-1	-1
17163	Так что будь в сознании - сиди дома в карантине.	-1	-1	2	1	-1	-1
